hotelId,hotelName,hotelUrl,reviewId,source,title,text,positives,negatives,score,ratingText,reviewDate,reviewerName,reviewerCountry,travelerType,roomType,checkInDate,checkOutDate,lengthOfStay,reviewPhotos,ownerResponse_text,ownerResponse_date
11019,Park Avenue Bayswater Inn Hyde Park,https://www.agoda.com/bayswater-inn-hotel/hotel/london-gb.html,1051804326,Agoda,Had a nice stay,Good sleep nice hotel,,,9.2,Exceptional,2025-11-16,Mandy,United Kingdom,Family with young children,Twin Room,2025-11-15,2025-11-16,1,,,
11019,Park Avenue Bayswater Inn Hyde Park,https://www.agoda.com/bayswater-inn-hotel/hotel/london-gb.html,1050078060,Agoda,Good location,"The hotel was in a nice area, the mattress was not comfy at all! The brqkfast was just okay! 

Good if you get a good deal per night! Not worth if paying a lot",,,7.6,Very good,2025-11-11,OMAR,United Kingdom,Solo traveler,Double Room,2025-11-09,2025-11-10,1,,,
11019,Park Avenue Bayswater Inn Hyde Park,https://www.agoda.com/bayswater-inn-hotel/hotel/london-gb.html,1048797974,Agoda,My personal experience,"I have stayed at this hotel twice the location and price are excellent. The staff were very helpful, thank you.",,,8,Excellent,2025-11-06,Mohammed,United Kingdom,Group,Twin Room,2025-10-30,2025-11-02,3,,,
11019,Park Avenue Bayswater Inn Hyde Park,https://www.agoda.com/bayswater-inn-hotel/hotel/london-gb.html,1047477775,Agoda,Not sure if it is normal standard,"It was mistake I booked this motel s  4 stars on Agoda..!!!
The moment we entered the restaurant (only used for morning breakfast) was at right, and could smell stinky rotten eggs at the night 9.00 pm. Possibly not cleaned and no room freshener at anywhere in the hotel. 
Room no 115 was assigned to me, in the night realized my wash basin is blocked, not cleaned l. Next day morning when took shower.. found the bath tub is also blocked.. finished my shower with pool of water.
The carpet don’t think cleaned since many months.  
And the final experience before leaving the hotel, waiting for taxi in the morning 5.30 am and could hear a lady very loud moaning in the lobby from the ground floor room. Could not believe, how is the hotel is being maintained such way. Possibly, it could be normal in this part of the world.",,,3.6,Review score,2025-11-02,Chandrakant,United Arab Emirates,Business traveler,Single Room,2025-10-31,2025-11-02,2,,,
11019,Park Avenue Bayswater Inn Hyde Park,https://www.agoda.com/bayswater-inn-hotel/hotel/london-gb.html,1046994431,Agoda,A pleasant stay,"great location, easy check in and access to local amenities- easy walk to good public transport. Would stay again.",,,8,Excellent,2025-11-01,Adam,United Kingdom,Group,Twin Room,2025-10-31,2025-11-01,1,,,
11019,Park Avenue Bayswater Inn Hyde Park,https://www.agoda.com/bayswater-inn-hotel/hotel/london-gb.html,1045442195,Agoda,Pleasant stay,"The stay was very pleasant, with clean rooms and an excellent location close to both shopping areas and the train station as well bus stops.",,,9.6,Exceptional,2025-10-28,SOFIA,Malaysia,Group,4-Bed Room,2025-10-20,2025-10-24,4,,,
11019,Park Avenue Bayswater Inn Hyde Park,https://www.agoda.com/bayswater-inn-hotel/hotel/london-gb.html,1041738732,Agoda,Excellent location near Hyde Park and great value,"I enjoyed my stay at Park Avenue Bayswater Inn Hyde Park. The hotel is very well located — just a short walk from Hyde Park, Notting Hill, and several excellent restaurants and cafés. It’s easy to get around with both Bayswater and Queensway stations nearby. The area feels safe and vibrant, ideal for exploring London on foot. My room was clean and comfortable, and the staff were friendly and helpful.",,,10,Exceptional,2025-10-20,Robert,United Kingdom,Solo traveler,Double Room,2025-10-19,2025-10-20,1,,,
11019,Park Avenue Bayswater Inn Hyde Park,https://www.agoda.com/bayswater-inn-hotel/hotel/london-gb.html,1038299966,Agoda,Very good staff very helpful they do the best to satisfy the visitors,"I would thanks the staff , really really that are very good and helpful and they are professional so friendly and quick and true h thier best to satisfy the visitors as much as they can , specially Ms . Kinza and iam not sure from the name of one of men staff he helped me a lot with Uber and luggage",,,8.8,Excellent,2025-10-19,NISREEN,United Arab Emirates,Solo traveler,Twin Room,2025-10-13,2025-10-15,2,,,
11019,Park Avenue Bayswater Inn Hyde Park,https://www.agoda.com/bayswater-inn-hotel/hotel/london-gb.html,1041381023,Agoda,Exceptional,Great place and nice staffs,,,9.2,Exceptional,2025-10-19,Suyash,Mauritius,Couple,Twin Room,2025-10-18,2025-10-23,5,,,
11019,Park Avenue Bayswater Inn Hyde Park,https://www.agoda.com/bayswater-inn-hotel/hotel/london-gb.html,1031356359,Agoda,Good service,"Property was well located, making it easy to explord nearby shopping and attractions. The staffs were very friendly from receptionist to kitchen staffs. Thank you for making our stay comfortable",,,10,Exceptional,2025-09-25,Selma,Namibia,Group,Twin Room,2025-09-22,2025-09-25,3,,,
11019,Park Avenue Bayswater Inn Hyde Park,https://www.agoda.com/bayswater-inn-hotel/hotel/london-gb.html,1024859440,Agoda,Could have been better.,"It smelled like smelly socks upon entering and through the corridors. The beds were so uncomfortable. I felt itchy the whole night. No fridges in the room. TV remote was not working properly.  No toothpaste or 
shampoo.  Bathroom was nice. Towels provided.The one perk - someone left their Netflix account logged in managed to watch a movie. Thanks Pracilla :)",,,6.8,Good,2025-09-17,Farhana,United Kingdom,Couple,Twin Room,2025-09-16,2025-09-17,1,,,
